combo,batch_prompt,joke_text,model_version
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did my jeans go to therapy? They were feeling a little loose with their emotions after a bout of diarrhea.,Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","I tried to wear my favorite jeans to the party, but they were having an identity crisis – they thought they were pants-itive for diarrhea.",Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why do jeans hate diarrhea? Because it's always a crappy time.,Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","What did my jeans say when they had diarrhea? ""I'm having a meltdown!""",Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why do jeans and diarrhea have nothing in common? Jeans don't have a gut feeling.,Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked my jeans if they wanted to go on a date, but they said, ""I'm not feeling solid about it.""",Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",What do you call a pair of jeans with diarrhea? A loose cannon.,Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did my jeans break up with me? They said I was having too many loose moments.,Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","What do jeans say when they're feeling anxious about diarrhea? ""I'm worried I'll be unbuttoned.""",Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","I tried to make my jeans feel better after diarrhea, but they just needed some TLC – Tender Loving Cleanliness.",Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why do jeans and diarrhea have a complicated relationship? One's always messing with the other's fabric.,Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did my jeans get kicked out of the bar? They were caught having a crappy time.,Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why do jeans hate getting wet after diarrhea? It's a soggy situation.,Llama-3.1-8B-Full
"diarrhea, jean","Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [diarrhea, jean].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","What do jeans say when they have diarrhea? ""I'm feeling a little torn apart.""",Llama-3.1-8B-Full
