rid,stable_id,joke,joke_cleaned,word_count,topic,topic_all_nouns,combo_key,combo_freq
4224,01846c2091f0ddd46fa60841d07ae0006948054f,three straight men walk in to a bar... and come out.,three straight men walk in to a bar ...  and come out .,13,"man, bar","man, bar","bar, man",379
5332,01ed2f1f55f0b92f7f0ff32fb46e9b3a4af88f3d,"A blind man walks into a bar ""OUCH""","a blind man walks into a bar "" ouch """,10,"man, bar","man, bar","bar, man",379
6089,02348ef36b96fa561ec7239b2c7a2764ecd32ae6,A man walks into a bar...... Ouch!!! That got to have hurt!,a man walks into a bar ...  ouch ! that got to have hurt !,15,"man, bar","man, bar","bar, man",379
17325,062d20c007bc226708a09d4a7e36e27632923e06,A man with D j vu walks into a bar. A man with D j vu walks into a bar.,a man with d j vu walks into a bar . a man with d j vu walks into a bar .,22,"man, bar","man, bar","bar, man",379
19920,0713efd21446d0845d2507a2b309cbf41bf77b6e,A man walks into a bar... Then he said ouch.,a man walks into a bar ...  then he said ouch .,12,"man, bar","man, bar","bar, man",379
22013,07d56c0c0b628def2ad7f72070a2c2d55fdb66db,A blind man walks into a bar — He never saw it coming,a blind man walks into a bar he never saw it coming,12,"man, bar","man, bar","bar, man",379
22211,07e616636397a36bb410c60d8b2d7fe36ba51eae,"A man walks into a bar, and says... ""...Ow.""","a man walks into a bar , and says ...  ""  ... ow . """,15,"man, bar","man, bar","bar, man",379
23937,088a80ca13946c7d6ed472b37d0eb7a7f5456bff,"A man walks in a bar ""Ow!""","a man walks in a bar "" ow ! """,10,"man, bar","man, bar","bar, man",379
23981,088e06624d8fa49fd72ca2973e53d570d2cd322d,"A man is about to walk in to a bar Someone yells ""watchout!""","a man is about to walk in to a bar someone yells "" watchout ! """,16,"man, bar","man, bar","bar, man",379
24306,08ac1b373b3641012bc9814c021425d9db8eb0ac,"A man walks into a bar... And says ""ouch"".","a man walks into a bar ...  and says "" ouch "" .",13,"man, bar","man, bar","bar, man",379
26693,098329e37d0e1dee0e2e531428eea4475a84fbb3,An irish man walks out of a bar... Impossible.,an irish man walks out of a bar ...  impossible .,11,"man, bar","man, bar","bar, man",379
31282,0b23e71732c4e01fe0b99f0f9937ef582e55ff46,Bar joke A man walks into a bar. Ouch.,bar joke a man walks into a bar . ouch .,11,"bar, man","bar, man","bar, man",379
31598,0b40afcdab2a38c818ba861d160a0dbbcf58d5e3,A blind man walked into a bar He didn't see it coming.,a blind man walked into a bar he didn't see it coming .,13,"man, bar","man, bar","bar, man",379
38466,0db4d7198b6f36bab6227a4f8612ce10531fdbe4,Two men walk into a bar The third one ducked,two men walk into a bar the third one ducked,10,"man, bar","man, bar","bar, man",379
39321,0e0323f4e9ee719a2dcc8717b8fcc077cd842521,Three men walk into a bar You think one would have noticed,three men walk into a bar you think one would have noticed,12,"man, bar","man, bar","bar, man",379
41241,0eabcb3eb2788eab30436e6771798e1212d631f2,"Two men walk into a bar... One turns to the other and says ""Ow..."".","two men walk into a bar ...  one turns to the other and says "" ow ...  "" .",19,"man, bar","man, bar","bar, man",379
44079,0fb22649c76420ab66aad4577ccbd4d12e6858a0,Two men walk into a bar... You'd think the second one would've noticed,two men walk into a bar ...  you'd think the second one would've noticed,14,"man, bar","man, bar","bar, man",379
44734,0fee4922bc00fefad6d8dfe2f0857eb6f0038987,Two men walk into a bar. You'd think the second guy would've ducked.,two men walk into a bar . you'd think the second guy would've ducked .,15,"man, bar","man, bar","bar, man",379
44776,0ff2a6f88538816a8ac660c59265391ee3b6c4c6,Three men walk into a bar You would have thought one would have ducked,three men walk into a bar you would have thought one would have ducked,14,"man, bar","man, bar","bar, man",379
47190,10c943d1feb233d4ef9638a67ce961245651abb3,"A drunk man runs into a bar and immediately gets knocked out. No. Seriously guys. He ""literally runs into a bar"".","a drunk man runs into a bar and immediately gets knocked out . no . seriously guys . he "" literally runs into a bar "" .",27,"bar, man","bar, man","bar, man",379
47719,10f66e9deb63d0e3f71efe65241627398059301e,A man walks into a bar Poor guy...,a man walks into a bar poor guy ...,9,"man, bar","man, bar","bar, man",379
48058,11149928375427149b8645a8ffb8e36a3d84576a,A man walks into a bar... JUST KIDDING!!!,a man walks into a bar ...  just kidding !,10,"man, bar","man, bar","bar, man",379
53016,12d01b60331725f9c8b5ae61d915318d4d3b9c0a,A man walks into a bar and says... Ouch,a man walks into a bar and says ...  ouch,10,"man, bar","man, bar","bar, man",379
53271,12e7d04fbb0f2944bf034fd254f43b317e50bcef,Two men walked into a bar. The third one ducked,two men walked into a bar . the third one ducked,11,"man, bar","man, bar","bar, man",379
55584,13b6917261af7fe22fec05ada8dca892df06b668,Two men walked into a bar the third one ducked under.,two men walked into a bar the third one ducked under .,12,"man, bar","man, bar","bar, man",379
61952,15efea304dd82e46be1b4eb41781ca7a3aedd256,"A man walked into a bar. ""Ow"" he said.","a man walked into a bar . "" ow "" he said .",13,"man, bar","man, bar","bar, man",379
67754,17fc4329bd4802f57cb3dc120f0c39aa88de9f34,"A man walks into a bar... ...and says ""ow""","a man walks into a bar ... and says "" ow """,12,"man, bar","man, bar","bar, man",379
69803,18b3dd4594d3bc4f71d62f0d496b748500240b41,A man walks into an Australian bar... A man walks into and Australian bar to boast about something he could do. They doubt him so he shows them but as he leaves he's confused as if you why they kept saying he cunt even though he showed them he can.,a man walks into an australian bar ...  a man walks into and australian bar to boast about something he could do . they doubt him so he shows them but as he leaves he's confused as if you why they kept saying he cunt even though he showed them he can .,53,"man, bar","man, bar","bar, man",379
69940,18c122e15976e0bdbf20d7e1b173b4d6c74d091b,"A man walks into a bar ""Ouch!!!"", he says.","a man walks into a bar "" ouch ! "" , he says .",14,"man, bar","man, bar","bar, man",379
70135,18d3ccf4928689debee01da69570a92059e7a349,An Irish man walks past a bar...,an irish man walks past a bar ...,8,"man, bar","man, bar","bar, man",379
72498,19a45795df9bb42e62ce15a7841ae24ad41969d2,"A German man walks into a bar He sits next to a mathematician and the mathematician asks him, ""What is 6+3?"" The German seems stumped at first then says, ""Ach Nine!""","a german man walks into a bar he sits next to a mathematician and the mathematician asks him , "" what is 6 3 ? "" the german seems stumped at first then says , "" ach nine ! """,40,"man, bar","man, bar","bar, man",379
76152,1ade50733108bd3c49630501d9cffa1588806730,"An Irish man walked out of a bar... Theoretically, it could happen...","an irish man walked out of a bar ...  theoretically , it could happen ...",15,"man, bar","man, bar","bar, man",379
78702,1bc0e8a148ed7717049cc48151ffd597b82f4658,2 men walk into a bar The 3rd one ducked.,2 men walk into a bar the 3rd one ducked .,11,"man, bar","man, bar","bar, man",379
