combo,batch_prompt,joke_text,model_version
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I told my wife she was drawing her eyebrows too high. She looked surprised.,Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My dog is such a liar—he barks at the mailman, but he’s never seen him.",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked my friend if he’d seen my keys. He said, “No, but I’ve seen your lies.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my plants I was going on vacation. They all wilted—apparently, they’re not great liars.",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My alarm clock lied to me—it said “It’s time to wake up,” but it was still asleep.",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I caught my daughter lying about eating her vegetables. She said, “I did! I just didn’t digest them.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my GPS I was in a hurry. It said, “Turn left in 5 miles.” I said, “That’s a lie—I’m already late.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My toaster told me it was “toasty” this morning. I said, “You’re not even warm yet.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my phone I loved it. It replied, “I don’t believe you—you haven’t charged me in weeks.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My goldfish lied about being able to breathe underwater. Turns out, he’s just really good at holding his breath.",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my shadow I was going to the gym. It said, “You’re not even in the same room.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My alarm clock said, “Good morning!” I said, “You’re not even real.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my dad I wasn’t stealing cookies. He said, “Prove it.” I ate another one.",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked my cat if he liked fish. He said, “Only when they’re lying on the floor.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My therapist says I’m a liar. I said, “That’s just your interpretation.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my microwave I was feeling hot. It said, “You’re not even on.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My nephew said he saw a unicorn. I said, “You’re a liar. I’ve been there.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my wife I wasn’t mad. She said, “You’re lying. Your face is red.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked my watch what time it was. It said, “I don’t know—I’m just a liar with hands.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My dog said he didn’t eat the sandwich. I said, “Then why are there crumbs in your mouth?”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my computer I was stressed. It said, “You’re not even running.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My plant said, “I’m thriving!” I said, “You’re dead. You’re just a good liar.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my friend I wasn’t jealous of his new car. He said, “Your eyes are lying.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My alarm clock said, “It’s time to go.” I said, “You’re not even awake.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my mirror I was handsome. It said, “I don’t lie. But I also don’t reflect.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My son said he finished his homework. I said, “Show me.” He said, “It’s in my brain. It’s invisible.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my dad I didn’t take the last slice of pizza. He said, “Your hands are covered in cheese.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My GPS said, “Turn right in 2 miles.” I said, “You’re lying. I’ve been turning for 10 minutes.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my sister I wasn’t angry. She said, “Your voice is shaking. That’s not a lie.”",Qwen3-30B-A3B
liar,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [liar].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","My toaster said, “I’m ready!” I said, “You’re not even plugged in.”",Qwen3-30B-A3B
