combo,batch_prompt,joke_text,model_version
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the glass go to therapy? It was feeling cracked under the pressure!,Llama-3.1-70B-NF4
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","What did the glass say when it ran into its ex? ""You're just a shard of my past!""",Llama-3.1-70B-NF4
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","Why did the glass go to the party? To get a little ""wasted""!",Llama-3.1-70B-NF4
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",What do you call a glass that's having an identity crisis? A pane in the neck!,Llama-3.1-70B-NF4
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the glass go on a date? To see if there was a connection that wasn't transparent!,Llama-3.1-70B-NF4
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the glass go to the doctor? It had a cracking cough!,Llama-3.1-70B-NF4
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","What did the glass say when it got tired of being used? ""I'm all drained!""",Llama-3.1-70B-NF4
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the glass become a musician? It was great at making crystal clear sounds!,Llama-3.1-70B-NF4
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the glass go to the gym? To pump up its container confidence!,Llama-3.1-70B-NF4
glass,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [glass].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the glass get kicked out of the bar? It was making too many shattering remarks!,Llama-3.1-70B-NF4
